UTC,RR_afdeling1_Q,RR_afdeling2_Q,RR_afdeling3_Q,RR_afdeling4_Q,IJsselmeer_H,Waddenzee_H
2015-03-05 00:00:00,7.58,3,25,18,-0.668,-0.618
2015-03-05 01:00:00,7.58,3,25,18,-0.668,-0.073
2015-03-05 02:00:00,7.58,3,25,18,-0.668,0.088
2015-03-05 03:00:00,7.58,3,25,18,-0.668,0.123
2015-03-05 04:00:00,7.58,3,25,18,-0.668,0.125
2015-03-05 05:00:00,7.58,3,25,18,-0.668,-0.012
2015-03-05 06:00:00,7.58,3,25,18,-0.668,-0.183
2015-03-05 07:00:00,7.58,3,25,18,-0.668,-0.393
2015-03-05 08:00:00,7.58,3,25,18,-0.668,-0.626
2015-03-05 09:00:00,7.58,3,25,18,-0.668,-0.734
2015-03-05 10:00:00,7.58,3,25,18,-0.668,-0.889
2015-03-05 11:00:00,7.58,3,25,18,-0.668,-0.942
2015-03-05 12:00:00,7.58,3,25,18,-0.668,-0.747
2015-03-05 13:00:00,7.58,3,25,18,-0.668,-0.344
2015-03-05 14:00:00,7.58,3,25,18,-0.668,-0.137
2015-03-05 15:00:00,7.58,3,25,18,-0.668,-0.022
2015-03-05 16:00:00,7.58,3,25,18,-0.668,0.046
2015-03-05 17:00:00,7.58,3,25,18,-0.668,0.088
2015-03-05 18:00:00,7.58,3,25,18,-0.668,0.007
2015-03-05 19:00:00,7.58,3,25,18,-0.668,-0.173
2015-03-05 20:00:00,7.58,3,25,18,-0.668,-0.434
2015-03-05 21:00:00,7.58,3,25,18,-0.668,-0.655
2015-03-05 22:00:00,7.58,3,25,18,-0.668,-0.748
2015-03-05 23:00:00,7.58,3,25,18,-0.668,-0.854